"ID","Title","Published At","Duration","ViewCount","LikeCount"
"in9MC2bFttU","Why Your Past Won't Help Your Present","2022-08-10T13:00:33Z","PT3M22S",128576,5823
"l0nsxSYviuk","The Paranoia Test","2022-07-27T13:00:27Z","PT3M23S",152053,5488
"WdgqY1S9uzA","How to Tell If You Have Been Gaslit","2022-07-20T13:00:30Z","PT4M5S",346774,11377
"H27IFU050_U","We Have a Big Announcement...","2022-07-13T13:00:11Z","PT1M38S",88047,3838
"I4yCf6ZLgAo","What to Do About Your Trauma?","2022-07-06T13:00:10Z","PT4M2S",181645,7225
"5o-3kQnp19s","Why It Really Is All About Your Childhood","2022-06-29T13:00:04Z","PT5M19S",217444,7942
"12Hzlhpb21I","Why We Are All Addicts","2022-06-15T13:00:01Z","PT2M53S",199672,9084
"KZCCWF9idSQ","How to Get in Touch With Your Feelings... and Why It Matters","2022-06-08T13:00:09Z","PT3M37S",214840,7698
"bnT-keudMys","If Your Parents Didn't Listen to You Properly...","2022-05-11T13:00:17Z","PT3M41S",188828,7798
"AmtZ_gBMyrc","When You Are Feeling Quiet and Numb","2022-05-04T13:00:11Z","PT3M16S",458590,21556
"kIF41JBJmD8","You Still Have a Chance to Be Very Original","2022-04-20T13:00:33Z","PT3M4S",188951,6878
"nLaqkOf4sus","Should I Choose Passion or Duty?","2022-04-13T13:00:32Z","PT2M58S",210232,8477
"-TxzW4eklEU","Stop Trying to Be Nice All the Time","2022-03-30T13:00:00Z","PT3M16S",447693,18736
"KXSlREZybj8","Stop Taking Your Fears to Social Media","2022-03-23T14:00:15Z","PT3M24S",166826,7480
"6Y4fE1tmy6Y","Eastern Vs Western Ideas of Happiness","2022-03-16T14:00:05Z","PT5M8S",293446,12757
"j0wBQA3fOcg","How To Be An Interesting Person","2022-03-02T14:30:07Z","PT4M20S",486403,16494
"T_LSTPnVs70","Which Long-term Relationships Will Survive and Which Won't","2022-02-23T14:00:10Z","PT6M48S",1896773,64766
"b99oGua6V20","ART/ARCHITECTURE - Louis Kahn","2022-02-09T14:00:13Z","PT5M59S",262264,8839
"u4XEL-3tG0g","What's Still Lovely","2022-01-26T14:00:25Z","PT3M58S",188337,10810
"XV7oZjkeiEY","How You Can Be Too Clever","2022-01-19T14:00:15Z","PT3M50S",233663,9275
"tmeHLIonl1E","What Dating Apps Misunderstand About Love","2021-12-29T14:00:24Z","PT4M39S",476845,16834
"ua5SGn9VEsk","4 Great Ideas From Hinduism","2021-12-22T15:30:08Z","PT10M5S",251616,12719
"Q8HvZvqwtpw","Ingredients of Mental Health","2021-12-15T14:00:20Z","PT2M3S",173269,10474
"BmcM6InBjM4","Why we should feel sorry for High Achievers","2021-12-08T14:00:11Z","PT5M11S",353549,15995
"E5SSLfH1iw0","Why Little Things Matter During the Apocalypse","2021-11-24T16:30:03Z","PT6M29S",95983,3712
"sidOV94enHQ","How To Cope When Mental Illness Shuts Down Our Minds","2021-11-17T14:00:22Z","PT5M53S",397123,21529
"OfsTJnpRxeg","Why you can't find a partner","2021-10-27T13:00:11Z","PT5M28S",808847,32877
"HZoUlMrWuCU","LITERATURE - Oscar Wilde","2021-10-13T13:00:09Z","PT9M29S",304191,11590
"UFf1VtgzRno","I Feel So Lonely!","2021-09-29T13:00:25Z","PT4M38S",322681,11495
